#Refer to ReadMe/ReadMe_Get_ENCODE_MetaData_files.txt for details of this metadata file
File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF582BGK	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					2							ENCFF302SNC	1140721	John Stamatoyannopoulos, UW	c78d37a6fcbd6b1d88bd3fd855757346	https://www.encodeproject.org/files/ENCFF582BGK/@@download/ENCFF582BGK.bed.gz	hg19			archived	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
ENCFF860PPF	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					1							ENCFF163ZHO, ENCFF756QUU	1129408	ENCODE Processing Pipeline	af2deacfe31b085902a71e9d67ac49b6	https://www.encodeproject.org/files/ENCFF860PPF/@@download/ENCFF860PPF.bed.gz	hg19			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
ENCFF417HPS	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					2							ENCFF161NJH, ENCFF163ZHO	871183	ENCODE Processing Pipeline	1713d7b0eafcc5054d34297db67993c2	https://www.encodeproject.org/files/ENCFF417HPS/@@download/ENCFF417HPS.bed.gz	hg19			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
ENCFF790CZU	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					1							ENCFF113NOR, ENCFF992CZQ	2088632	ENCODE Processing Pipeline	455822a1495403c77f2c1a0969e921e6	https://www.encodeproject.org/files/ENCFF790CZU/@@download/ENCFF790CZU.bed.gz	GRCh38			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
ENCFF295OQR	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					2							ENCFF110QDJ, ENCFF992CZQ	929621	ENCODE Processing Pipeline	40fc77a65aabf86de4aa0300c25ba657	https://www.encodeproject.org/files/ENCFF295OQR/@@download/ENCFF295OQR.bed.gz	GRCh38			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
ENCFF549DIW	bed narrowPeak	peaks	ENCSR829MXU	DNase-seq	UBERON:0000988	pons	tissue	adult	male	Homo sapiens							DNA					2016-05-09	ENCODE					1		36					ENCFF378ZLQ	3092229	John Stamatoyannopoulos, UW	7a1b8e333448900bfc270ab6f9d83ecd	https://www.encodeproject.org/files/ENCFF549DIW/@@download/ENCFF549DIW.bed.gz	hg19			archived	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates	unreplicated experiment	
ENCFF615GGO	bed narrowPeak	peaks	ENCSR829MXU	DNase-seq	UBERON:0000988	pons	tissue	adult	male	Homo sapiens							DNA					2016-05-09	ENCODE					1							ENCFF156DHT, ENCFF163ZHO	2512145	ENCODE Processing Pipeline	28be30250b579cdc8821fbf2bf528f1d	https://www.encodeproject.org/files/ENCFF615GGO/@@download/ENCFF615GGO.bed.gz	hg19			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates	unreplicated experiment	
ENCFF802QQT	bed narrowPeak	peaks	ENCSR829MXU	DNase-seq	UBERON:0000988	pons	tissue	adult	male	Homo sapiens							DNA					2016-05-09	ENCODE					1							ENCFF111ARI, ENCFF992CZQ	2536736	ENCODE Processing Pipeline	48f7594a5eb16b4c82f9ac16145504a0	https://www.encodeproject.org/files/ENCFF802QQT/@@download/ENCFF802QQT.bed.gz	GRCh38			released	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates	unreplicated experiment	
ENCFF001WQV	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					1							ENCFF001EAW	1777636	John Stamatoyannopoulos, UW	8309d974e8a250b402c709aae947ed6b	https://www.encodeproject.org/files/ENCFF001WQV/@@download/ENCFF001WQV.bed.gz	hg19			archived	inconsistent platforms			
ENCFF001WQW	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					2							ENCFF001EAZ	1934172	John Stamatoyannopoulos, UW	ed1d2a4729125208d3d0bd6f0b58125a	https://www.encodeproject.org/files/ENCFF001WQW/@@download/ENCFF001WQW.bed.gz	hg19			archived	inconsistent platforms			
ENCFF669RIA	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					1							ENCFF096IXS, ENCFF163ZHO	824311	ENCODE Processing Pipeline	4322e6aab727dc54d71bfb9723d57ca9	https://www.encodeproject.org/files/ENCFF669RIA/@@download/ENCFF669RIA.bed.gz	hg19			released	inconsistent platforms			
ENCFF900CNW	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					2							ENCFF163ZHO, ENCFF460VVY	876791	ENCODE Processing Pipeline	9713feb74557c0bfbfb6c5d9c93318f4	https://www.encodeproject.org/files/ENCFF900CNW/@@download/ENCFF900CNW.bed.gz	hg19			released	inconsistent platforms			
ENCFF207OFS	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					1							ENCFF161GJL, ENCFF992CZQ	829806	ENCODE Processing Pipeline	bd36e85a8e91f16e9d729f5d2a0c1640	https://www.encodeproject.org/files/ENCFF207OFS/@@download/ENCFF207OFS.bed.gz	GRCh38			released	inconsistent platforms			
ENCFF969PTO	bed narrowPeak	peaks	ENCSR000EPN	DNase-seq	CL:0002328	bronchial epithelial cell	primary cell	unknown	female	Homo sapiens	retinoic acid						DNA		see document	see document		2012-03-06	ENCODE					2							ENCFF726CSQ, ENCFF992CZQ	882534	ENCODE Processing Pipeline	ab9a0a400059a2897f3003b5780a5b7c	https://www.encodeproject.org/files/ENCFF969PTO/@@download/ENCFF969PTO.bed.gz	GRCh38			released	inconsistent platforms			
ENCFF001SQA	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					1, 2							ENCFF001CNX, ENCFF001COB	1698410	John Stamatoyannopoulos, UW	03ec343105e16a0e783773b7b18d66ee	https://www.encodeproject.org/files/ENCFF001SQA/@@download/ENCFF001SQA.bed.gz	hg19			archived				
ENCFF001WED	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					1							ENCFF001CNX	2064054	John Stamatoyannopoulos, UW	50522fbb0c44fd9419e79599f309c583	https://www.encodeproject.org/files/ENCFF001WED/@@download/ENCFF001WED.bed.gz	hg19			archived				
ENCFF001WEE	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					2							ENCFF001COB	2118966	John Stamatoyannopoulos, UW	957c6b42033f77e18fb8b950039c3ed2	https://www.encodeproject.org/files/ENCFF001WEE/@@download/ENCFF001WEE.bed.gz	hg19			archived				
ENCFF580KMM	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					1							ENCFF163ZHO, ENCFF459KZV	1290185	ENCODE Processing Pipeline	69b646232b08c9f53220ac1aa5168629	https://www.encodeproject.org/files/ENCFF580KMM/@@download/ENCFF580KMM.bed.gz	hg19			released				
ENCFF532CKR	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					2							ENCFF080CRZ, ENCFF163ZHO	1339981	ENCODE Processing Pipeline	f7c1708baca0a63cbe38b787aab64b46	https://www.encodeproject.org/files/ENCFF532CKR/@@download/ENCFF532CKR.bed.gz	hg19			released				
ENCFF897CBR	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					1							ENCFF283EVB, ENCFF992CZQ	1295582	ENCODE Processing Pipeline	8419be0c184824e24d60c85806980637	https://www.encodeproject.org/files/ENCFF897CBR/@@download/ENCFF897CBR.bed.gz	GRCh38			released				
ENCFF913JPF	bed narrowPeak	peaks	ENCSR000EMD	DNase-seq	EFO:0005725	BE2C	immortalized cell line	child	male	Homo sapiens							DNA		see document	see document		2011-05-04	ENCODE					2							ENCFF908GWB, ENCFF992CZQ	1347325	ENCODE Processing Pipeline	1f84dc776f12f39e26a881b3437e89b9	https://www.encodeproject.org/files/ENCFF913JPF/@@download/ENCFF913JPF.bed.gz	GRCh38			released				
ENCFF001SPK	bed narrowPeak	peaks	ENCSR000ELK	DNase-seq	NTR:0001484	islet precursor cell	in vitro differentiated cells	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE													1906263	Gregory Crawford, Duke	b2d601e69a486099b4408fab69bc0e20	https://www.encodeproject.org/files/ENCFF001SPK/@@download/ENCFF001SPK.bed.gz	hg19			released		NTR biosample, biological replicates with identical biosample		
ENCFF001UXK	bed narrowPeak	peaks	ENCSR000ELK	DNase-seq	NTR:0001484	islet precursor cell	in vitro differentiated cells	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE													2487371	Gregory Crawford, Duke	9e48df899a8fc096ffc365be804dc8d7	https://www.encodeproject.org/files/ENCFF001UXK/@@download/ENCFF001UXK.bed.gz	hg19			released		NTR biosample, biological replicates with identical biosample		
ENCFF001SRC	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					1, 2							ENCFF001DGA, ENCFF001DGP	1173095	John Stamatoyannopoulos, UW	ceb5bc2aaf536165491fe5f360b08467	https://www.encodeproject.org/files/ENCFF001SRC/@@download/ENCFF001SRC.bed.gz	hg19			archived				
ENCFF001WKA	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					1							ENCFF001DGA	1505842	John Stamatoyannopoulos, UW	424de07ec42c5803aebff43ea57d560a	https://www.encodeproject.org/files/ENCFF001WKA/@@download/ENCFF001WKA.bed.gz	hg19			archived				
ENCFF001WKC	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					2							ENCFF001DGP	1257681	John Stamatoyannopoulos, UW	f8e48344d500e2faff9a2da40c46c03e	https://www.encodeproject.org/files/ENCFF001WKC/@@download/ENCFF001WKC.bed.gz	hg19			archived				
ENCFF304DIG	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					1							ENCFF163ZHO, ENCFF403DIO	726696	ENCODE Processing Pipeline	1292e3ca619f821c81e3f0dac1a70be1	https://www.encodeproject.org/files/ENCFF304DIG/@@download/ENCFF304DIG.bed.gz	hg19			released				
ENCFF683IBB	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					2							ENCFF163ZHO, ENCFF298NBH	477517	ENCODE Processing Pipeline	01aa692a9bb1ccaf9797e61782db677d	https://www.encodeproject.org/files/ENCFF683IBB/@@download/ENCFF683IBB.bed.gz	hg19			released				
ENCFF092NPZ	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					1							ENCFF508YPY, ENCFF992CZQ	729659	ENCODE Processing Pipeline	131aa1d09c9444502f698b8c597d4d2d	https://www.encodeproject.org/files/ENCFF092NPZ/@@download/ENCFF092NPZ.bed.gz	GRCh38			released				
ENCFF599ISA	bed narrowPeak	peaks	ENCSR000ENX	DNase-seq	CL:2000010	dermis blood vessel endothelial cell	primary cell	adult	female	Homo sapiens							DNA		see document	see document		2011-10-19	ENCODE					2							ENCFF212JKR, ENCFF992CZQ	480901	ENCODE Processing Pipeline	f139ed1ef6fb8f6bbde7dc1d8d52c592	https://www.encodeproject.org/files/ENCFF599ISA/@@download/ENCFF599ISA.bed.gz	GRCh38			released				
ENCFF001SOH	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE													1626319	Gregory Crawford, Duke	f0ce90b72c1cfaceda456e0dfd10db1e	https://www.encodeproject.org/files/ENCFF001SOH/@@download/ENCFF001SOH.bed.gz	hg19			archived		biological replicates with identical biosample		
ENCFF001UUK	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE													2417212	Gregory Crawford, Duke	30b152b1c8fd659fb089e7b1ac3a1bfa	https://www.encodeproject.org/files/ENCFF001UUK/@@download/ENCFF001UUK.bed.gz	hg19			archived		biological replicates with identical biosample		
ENCFF779FNJ	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE					1							ENCFF163ZHO, ENCFF475JTG	887164	ENCODE Processing Pipeline	6291842e43a267aa679b833d33588599	https://www.encodeproject.org/files/ENCFF779FNJ/@@download/ENCFF779FNJ.bed.gz	hg19			released		biological replicates with identical biosample		
ENCFF021IIZ	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE					2							ENCFF163ZHO, ENCFF568FZF	384413	ENCODE Processing Pipeline	b74128dacaa5a154e37987543201b9d2	https://www.encodeproject.org/files/ENCFF021IIZ/@@download/ENCFF021IIZ.bed.gz	hg19			released		biological replicates with identical biosample		
ENCFF164IXM	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE					1							ENCFF520LWI, ENCFF992CZQ	871747	ENCODE Processing Pipeline	f0bab15814e83ee7b58137f6cd3ad5ab	https://www.encodeproject.org/files/ENCFF164IXM/@@download/ENCFF164IXM.bed.gz	GRCh38			released		biological replicates with identical biosample		
ENCFF799LNI	bed narrowPeak	peaks	ENCSR000EIL	DNase-seq	UBERON:0003124	chorion	tissue	unknown	unknown	Homo sapiens							DNA		see document	see document		2011-04-19	ENCODE					2							ENCFF270AQQ, ENCFF992CZQ	380300	ENCODE Processing Pipeline	3c0e2a4bbb5cb88d127b61fa05ad408b	https://www.encodeproject.org/files/ENCFF799LNI/@@download/ENCFF799LNI.bed.gz	GRCh38			released		biological replicates with identical biosample		
ENCFF001SPZ	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1, 2							ENCFF001CNR, ENCFF001CNS	1675784	John Stamatoyannopoulos, UW	f556b6787a41e53de0aa0d02e624bb71	https://www.encodeproject.org/files/ENCFF001SPZ/@@download/ENCFF001SPZ.bed.gz	hg19			archived				
ENCFF001VYU	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					2							ENCFF001ASQ	2913060	John Stamatoyannopoulos, UW	a058bab388dc308784da18698f136511	https://www.encodeproject.org/files/ENCFF001VYU/@@download/ENCFF001VYU.bed.gz	hg19			archived				
ENCFF001WDZ	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1							ENCFF001CNR	2019389	John Stamatoyannopoulos, UW	a707cdfc42d50ec67fc1cb51895ae15e	https://www.encodeproject.org/files/ENCFF001WDZ/@@download/ENCFF001WDZ.bed.gz	hg19			archived				
ENCFF001WEA	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					2							ENCFF001CNS	1890531	John Stamatoyannopoulos, UW	510a4dd82cde4d8ed6f8a133dbc66cb4	https://www.encodeproject.org/files/ENCFF001WEA/@@download/ENCFF001WEA.bed.gz	hg19			archived				
ENCFF838BWI	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1							ENCFF837DSQ, ENCFF992CZQ	1199650	ENCODE Processing Pipeline	90bc401fe0865381b91ac64aeaaacac1	https://www.encodeproject.org/files/ENCFF838BWI/@@download/ENCFF838BWI.bed.gz	GRCh38			released				
ENCFF781DJJ	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					2							ENCFF441PPP, ENCFF992CZQ	3248878	ENCODE Processing Pipeline	e1abd031ce9e793d0b04e7dc66cd960d	https://www.encodeproject.org/files/ENCFF781DJJ/@@download/ENCFF781DJJ.bed.gz	GRCh38			released				
ENCFF354BYJ	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1							ENCFF163ZHO, ENCFF794ZLG	1195588	ENCODE Processing Pipeline	ae17095aef40f5e1efbf4b71f8f68667	https://www.encodeproject.org/files/ENCFF354BYJ/@@download/ENCFF354BYJ.bed.gz	hg19			released				
ENCFF799TQB	bed narrowPeak	peaks	ENCSR000EMC	DNase-seq	CL:0002547	fibroblast of the aortic adventitia	primary cell	unknown	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					2							ENCFF117YBM, ENCFF163ZHO	3237713	ENCODE Processing Pipeline	3838ebe8ca9c606c1520c50c30af9f1f	https://www.encodeproject.org/files/ENCFF799TQB/@@download/ENCFF799TQB.bed.gz	hg19			released				
ENCFF001SRW	bed narrowPeak	peaks	ENCSR000EPL	DNase-seq	EFO:0002798	NB4	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1, 2							ENCFF001CAC, ENCFF001EAD, ENCFF001EAF	1377996	John Stamatoyannopoulos, UW	73929dc101adb03c2df9cb390ab83374	https://www.encodeproject.org/files/ENCFF001SRW/@@download/ENCFF001SRW.bed.gz	hg19			released	inconsistent platforms			
ENCFF001WBS	bed narrowPeak	peaks	ENCSR000EPL	DNase-seq	EFO:0002798	NB4	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1, 2							ENCFF001CAC	2624792	John Stamatoyannopoulos, UW	386e136fc95680b4d382fb26f1d2ef68	https://www.encodeproject.org/files/ENCFF001WBS/@@download/ENCFF001WBS.bed.gz	hg19			released	inconsistent platforms			
ENCFF001WQO	bed narrowPeak	peaks	ENCSR000EPL	DNase-seq	EFO:0002798	NB4	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					2							ENCFF001EAF	1612671	John Stamatoyannopoulos, UW	6b05c98d965496cbcc82317c5df0bfe5	https://www.encodeproject.org/files/ENCFF001WQO/@@download/ENCFF001WQO.bed.gz	hg19			released	inconsistent platforms			
ENCFF001WQN	bed narrowPeak	peaks	ENCSR000EPL	DNase-seq	EFO:0002798	NB4	immortalized cell line	adult	female	Homo sapiens							DNA		see document	see document		2010-12-16	ENCODE					1							ENCFF001EAD	1715365	John Stamatoyannopoulos, UW	4ca059737fb34dac440d8c3a777f3f0f	https://www.encodeproject.org/files/ENCFF001WQN/@@download/ENCFF001WQN.bed.gz	hg19			released	inconsistent platforms			
ENCFF001WMQ	bed narrowPeak	peaks	ENCSR000EMG	DNase-seq	EFO:0005282	HS-5	immortalized cell line	unknown	male	Homo sapiens							DNA		see document	see document		2012-07-23	ENCODE					1							ENCFF001DMW	2132261	John Stamatoyannopoulos, UW	9b6bde6ab0d9d5be3c66575e296c25d2	https://www.encodeproject.org/files/ENCFF001WMQ/@@download/ENCFF001WMQ.bed.gz	hg19			archived	inconsistent platforms			
